season,round,constructor,constructor_points_after_race,constructor_wins_after_race,constructor_standings_pos_after_race,constructor_points,constructor_wins,constructor_standings_pos
2008,1,mclaren,14.0,1,1,0.0,0.0,0.0
2008,1,williams,9.0,0,2,0.0,0.0,0.0
2008,1,bmw_sauber,8.0,0,3,0.0,0.0,0.0
2008,1,renault,5.0,0,4,0.0,0.0,0.0
2008,1,toro_rosso,2.0,0,5,0.0,0.0,0.0
2008,1,ferrari,1.0,0,6,0.0,0.0,0.0
2008,2,mclaren,24.0,1,1,14.0,1.0,1.0
2008,2,bmw_sauber,19.0,0,2,8.0,0.0,3.0
2008,2,ferrari,11.0,1,3,1.0,0.0,6.0
2008,2,williams,9.0,0,4,9.0,0.0,2.0
2008,2,renault,6.0,0,5,5.0,0.0,4.0
2008,2,toyota,5.0,0,6,0.0,0.0,0.0
2008,2,red_bull,2.0,0,7,0.0,0.0,0.0
2008,2,toro_rosso,2.0,0,8,2.0,0.0,5.0
2008,2,honda,0.0,0,9,0.0,0.0,0.0
2008,2,force_india,0.0,0,10,0.0,0.0,0.0
2008,2,super_aguri,0.0,0,11,0.0,0.0,0.0
2008,3,bmw_sauber,30.0,0,1,19.0,0.0,2.0
2008,3,ferrari,29.0,2,2,11.0,1.0,3.0
2008,3,mclaren,28.0,1,3,24.0,1.0,1.0
2008,3,williams,10.0,0,4,9.0,0.0,4.0
2008,3,toyota,8.0,0,5,5.0,0.0,6.0
2008,3,renault,6.0,0,6,6.0,0.0,5.0
2008,3,red_bull,4.0,0,7,2.0,0.0,7.0
2008,3,toro_rosso,2.0,0,8,2.0,0.0,8.0
2008,3,honda,0.0,0,9,0.0,0.0,9.0
2008,3,force_india,0.0,0,10,0.0,0.0,10.0
2008,3,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,4,ferrari,47.0,3,1,29.0,2.0,2.0
2008,4,bmw_sauber,35.0,0,2,30.0,0.0,1.0
2008,4,mclaren,34.0,1,3,28.0,1.0,3.0
2008,4,williams,12.0,0,4,10.0,0.0,4.0
2008,4,toyota,9.0,0,5,8.0,0.0,5.0
2008,4,red_bull,8.0,0,6,4.0,0.0,7.0
2008,4,renault,6.0,0,7,6.0,0.0,6.0
2008,4,honda,3.0,0,8,0.0,0.0,9.0
2008,4,toro_rosso,2.0,0,9,2.0,0.0,8.0
2008,4,force_india,0.0,0,10,0.0,0.0,10.0
2008,4,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,5,ferrari,63.0,4,1,47.0,3.0,1.0
2008,5,bmw_sauber,44.0,0,2,35.0,0.0,2.0
2008,5,mclaren,42.0,1,3,34.0,1.0,3.0
2008,5,williams,13.0,0,4,12.0,0.0,4.0
2008,5,red_bull,10.0,0,5,8.0,0.0,6.0
2008,5,toyota,9.0,0,6,9.0,0.0,5.0
2008,5,renault,9.0,0,7,6.0,0.0,7.0
2008,5,honda,3.0,0,8,3.0,0.0,8.0
2008,5,toro_rosso,2.0,0,9,2.0,0.0,9.0
2008,5,force_india,0.0,0,10,0.0,0.0,10.0
2008,5,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,6,ferrari,69.0,4,1,63.0,4.0,1.0
2008,6,mclaren,53.0,2,2,42.0,1.0,3.0
2008,6,bmw_sauber,52.0,0,3,44.0,0.0,2.0
2008,6,williams,15.0,0,4,13.0,0.0,4.0
2008,6,red_bull,15.0,0,5,10.0,0.0,5.0
2008,6,toyota,9.0,0,6,9.0,0.0,6.0
2008,6,renault,9.0,0,7,9.0,0.0,7.0
2008,6,toro_rosso,6.0,0,8,2.0,0.0,9.0
2008,6,honda,6.0,0,9,3.0,0.0,8.0
2008,6,force_india,0.0,0,10,0.0,0.0,10.0
2008,6,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,7,ferrari,73.0,4,1,69.0,4.0,1.0
2008,7,bmw_sauber,70.0,1,2,52.0,0.0,3.0
2008,7,mclaren,53.0,2,3,53.0,2.0,2.0
2008,7,red_bull,21.0,0,4,15.0,0.0,5.0
2008,7,toyota,17.0,0,5,9.0,0.0,6.0
2008,7,williams,15.0,0,6,15.0,0.0,4.0
2008,7,renault,9.0,0,7,9.0,0.0,7.0
2008,7,honda,8.0,0,8,6.0,0.0,9.0
2008,7,toro_rosso,7.0,0,9,6.0,0.0,8.0
2008,7,force_india,0.0,0,10,0.0,0.0,10.0
2008,7,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,8,ferrari,91.0,5,1,73.0,4.0,1.0
2008,8,bmw_sauber,74.0,1,2,70.0,1.0,2.0
2008,8,mclaren,58.0,2,3,53.0,2.0,3.0
2008,8,red_bull,24.0,0,4,21.0,0.0,4.0
2008,8,toyota,23.0,0,5,17.0,0.0,5.0
2008,8,williams,15.0,0,6,15.0,0.0,6.0
2008,8,renault,12.0,0,7,9.0,0.0,7.0
2008,8,honda,8.0,0,8,8.0,0.0,8.0
2008,8,toro_rosso,7.0,0,9,7.0,0.0,9.0
2008,8,force_india,0.0,0,10,0.0,0.0,10.0
2008,8,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,9,ferrari,96.0,5,1,91.0,5.0,1.0
2008,9,bmw_sauber,82.0,1,2,74.0,1.0,2.0
2008,9,mclaren,72.0,3,3,58.0,2.0,3.0
2008,9,toyota,25.0,0,4,23.0,0.0,5.0
2008,9,red_bull,24.0,0,5,24.0,0.0,4.0
2008,9,williams,16.0,0,6,15.0,0.0,6.0
2008,9,renault,15.0,0,7,12.0,0.0,7.0
2008,9,honda,14.0,0,8,8.0,0.0,8.0
2008,9,toro_rosso,7.0,0,9,7.0,0.0,9.0
2008,9,force_india,0.0,0,10,0.0,0.0,10.0
2008,9,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,10,ferrari,105.0,5,1,96.0,5.0,1.0
2008,10,bmw_sauber,89.0,1,2,82.0,1.0,2.0
2008,10,mclaren,86.0,4,3,72.0,3.0,3.0
2008,10,toyota,25.0,0,4,25.0,0.0,4.0
2008,10,red_bull,24.0,0,5,24.0,0.0,5.0
2008,10,renault,23.0,0,6,15.0,0.0,7.0
2008,10,williams,16.0,0,7,16.0,0.0,6.0
2008,10,honda,14.0,0,8,14.0,0.0,8.0
2008,10,toro_rosso,8.0,0,9,7.0,0.0,9.0
2008,10,force_india,0.0,0,10,0.0,0.0,10.0
2008,10,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,11,ferrari,111.0,5,1,105.0,5.0,1.0
2008,11,mclaren,100.0,5,2,86.0,4.0,3.0
2008,11,bmw_sauber,90.0,1,3,89.0,1.0,2.0
2008,11,toyota,35.0,0,4,25.0,0.0,4.0
2008,11,renault,31.0,0,5,23.0,0.0,6.0
2008,11,red_bull,24.0,0,6,24.0,0.0,5.0
2008,11,williams,16.0,0,7,16.0,0.0,7.0
2008,11,honda,14.0,0,8,14.0,0.0,8.0
2008,11,toro_rosso,8.0,0,9,8.0,0.0,9.0
2008,11,force_india,0.0,0,10,0.0,0.0,10.0
2008,11,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,12,ferrari,121.0,6,1,111.0,5.0,1.0
2008,12,mclaren,113.0,5,2,100.0,5.0,2.0
2008,12,bmw_sauber,96.0,1,3,90.0,1.0,3.0
2008,12,toyota,41.0,0,4,35.0,0.0,4.0
2008,12,renault,31.0,0,5,31.0,0.0,5.0
2008,12,red_bull,24.0,0,6,24.0,0.0,6.0
2008,12,williams,17.0,0,7,16.0,0.0,7.0
2008,12,honda,14.0,0,8,14.0,0.0,8.0
2008,12,toro_rosso,11.0,0,9,8.0,0.0,9.0
2008,12,force_india,0.0,0,10,0.0,0.0,10.0
2008,12,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,13,ferrari,131.0,7,1,121.0,6.0,1.0
2008,13,mclaren,119.0,5,2,113.0,5.0,2.0
2008,13,bmw_sauber,107.0,1,3,96.0,1.0,3.0
2008,13,toyota,41.0,0,4,41.0,0.0,4.0
2008,13,renault,36.0,0,5,31.0,0.0,5.0
2008,13,red_bull,25.0,0,6,24.0,0.0,6.0
2008,13,williams,17.0,0,7,17.0,0.0,7.0
2008,13,toro_rosso,17.0,0,8,11.0,0.0,9.0
2008,13,honda,14.0,0,9,14.0,0.0,8.0
2008,13,force_india,0.0,0,10,0.0,0.0,10.0
2008,13,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,14,ferrari,134.0,7,1,131.0,7.0,1.0
2008,14,mclaren,129.0,5,2,119.0,5.0,2.0
2008,14,bmw_sauber,117.0,1,3,107.0,1.0,3.0
2008,14,toyota,41.0,0,4,41.0,0.0,4.0
2008,14,renault,41.0,0,5,36.0,0.0,5.0
2008,14,toro_rosso,27.0,1,6,17.0,0.0,8.0
2008,14,red_bull,26.0,0,7,25.0,0.0,6.0
2008,14,williams,17.0,0,8,17.0,0.0,7.0
2008,14,honda,14.0,0,9,14.0,0.0,9.0
2008,14,force_india,0.0,0,10,0.0,0.0,10.0
2008,14,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,15,mclaren,135.0,5,1,129.0,5.0,2.0
2008,15,ferrari,134.0,7,2,134.0,7.0,1.0
2008,15,bmw_sauber,120.0,1,3,117.0,1.0,3.0
2008,15,renault,51.0,1,4,41.0,0.0,5.0
2008,15,toyota,46.0,0,5,41.0,0.0,4.0
2008,15,toro_rosso,31.0,1,6,27.0,1.0,6.0
2008,15,red_bull,28.0,0,7,26.0,0.0,7.0
2008,15,williams,26.0,0,8,17.0,0.0,8.0
2008,15,honda,14.0,0,9,14.0,0.0,9.0
2008,15,force_india,0.0,0,10,0.0,0.0,10.0
2008,15,super_aguri,0.0,0,11,0.0,0.0,11.0
2008,16,ferrari,142.0,7,1,134.0,7.0,2.0
