season,round,driver,driver_points_after_race,driver_wins_after_race,driver_standings_pos_after_race,driver_points,driver_wins,driver_standings_pos
2000,1,michael_schumacher,10.0,1,1,0.0,0.0,0.0
2000,1,barrichello,6.0,0,2,0.0,0.0,0.0
2000,1,ralf_schumacher,4.0,0,3,0.0,0.0,0.0
2000,1,villeneuve,3.0,0,4,0.0,0.0,0.0
2000,1,fisichella,2.0,0,5,0.0,0.0,0.0
2000,1,zonta,1.0,0,6,0.0,0.0,0.0
2000,1,wurz,0.0,0,7,0.0,0.0,0.0
2000,1,gene,0.0,0,8,0.0,0.0,0.0
2000,1,heidfeld,0.0,0,9,0.0,0.0,0.0
2000,2,michael_schumacher,20.0,2,1,10.0,1.0,1.0
2000,2,fisichella,8.0,0,2,2.0,0.0,5.0
2000,2,barrichello,6.0,0,3,6.0,0.0,2.0
2000,2,ralf_schumacher,6.0,0,4,4.0,0.0,3.0
2000,2,frentzen,4.0,0,5,0.0,0.0,0.0
2000,2,trulli,3.0,0,6,0.0,0.0,0.0
2000,2,villeneuve,3.0,0,7,3.0,0.0,4.0
2000,2,zonta,1.0,0,8,1.0,0.0,6.0
2000,2,button,1.0,0,9,0.0,0.0,0.0
2000,2,verstappen,0.0,0,10,0.0,0.0,0.0
2000,2,wurz,0.0,0,11,0.0,0.0,7.0
2000,2,rosa,0.0,0,12,0.0,0.0,0.0
2000,2,gene,0.0,0,13,0.0,0.0,8.0
2000,2,heidfeld,0.0,0,14,0.0,0.0,9.0
2000,2,mazzacane,0.0,0,15,0.0,0.0,0.0
2000,3,michael_schumacher,30.0,3,1,20.0,2.0,1.0
2000,3,barrichello,9.0,0,2,6.0,0.0,3.0
2000,3,fisichella,8.0,0,3,8.0,0.0,2.0
2000,3,hakkinen,6.0,0,4,0.0,0.0,0.0
2000,3,ralf_schumacher,6.0,0,5,6.0,0.0,4.0
2000,3,villeneuve,5.0,0,6,3.0,0.0,7.0
2000,3,coulthard,4.0,0,7,0.0,0.0,0.0
2000,3,frentzen,4.0,0,8,4.0,0.0,5.0
2000,3,trulli,3.0,0,9,3.0,0.0,6.0
2000,3,zonta,1.0,0,10,1.0,0.0,8.0
