season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium,url
2000,1,albert_park,michael_schumacher,1969-01-03,German,ferrari,3,5641987.0,Finished,10.0,1,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,barrichello,1972-05-23,Brazilian,ferrari,4,5653402.0,Finished,6.0,2,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,ralf_schumacher,1975-06-30,German,williams,11,5661996.0,Finished,4.0,3,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,villeneuve,1971-04-09,Canadian,bar,8,5686434.0,Finished,3.0,4,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,fisichella,1973-01-14,Italian,benetton,9,5687152.0,Finished,2.0,5,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,zonta,1976-03-23,Brazilian,bar,16,5688455.0,Finished,1.0,6,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,wurz,1974-02-15,Austrian,benetton,14,5688902.0,Finished,0.0,7,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,gene,1974-03-29,Spanish,minardi,18,,+1 Lap,0.0,8,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,heidfeld,1977-05-10,German,prost,15,,+2 Laps,0.0,9,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,salo,1966-11-30,Finnish,sauber,10,,Disqualified,0.0,10,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,button,1980-01-19,British,williams,21,,Engine,0.0,11,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,diniz,1970-05-22,Brazilian,sauber,19,,Transmission,0.0,12,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,mazzacane,1975-05-08,Argentine,minardi,22,,Gearbox,0.0,13,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,frentzen,1967-05-18,German,jordan,5,,Hydraulics,0.0,14,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,trulli,1974-07-13,Italian,jordan,6,,Engine,0.0,15,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,alesi,1964-06-11,French,prost,17,,Hydraulics,0.0,16,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,hakkinen,1968-09-28,Finnish,mclaren,1,,Engine,0.0,17,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,verstappen,1972-03-04,Dutch,arrows,13,,Suspension,0.0,18,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,coulthard,1971-03-27,British,mclaren,2,,Engine,0.0,19,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,rosa,1971-02-24,Spanish,arrows,12,,Suspension,0.0,20,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,irvine,1965-11-10,British,jaguar,7,,Spun off,0.0,21,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
2000,1,albert_park,herbert,1964-06-25,British,jaguar,20,,Clutch,0.0,22,http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix
